"1331JurjiZaydan_AhmadIbnTulun" "1331JurjiZaydan_ArmanusaMisriyya" "1331JurjiZaydan_CabbasaUkhtRashid" "1331JurjiZaydan_CabdRahmanNasir" "1331JurjiZaydan_CarusFarghana" "1331JurjiZaydan_FatatGhassan" "1331JurjiZaydan_FatatQayruwan" "1331JurjiZaydan_GhadatKarbala" "1331JurjiZaydan_HajjajIbnYusuf" "1331JurjiZaydan_IstibdadMamalik" "1331JurjiZaydan_JihadMuhibbin" "1331JurjiZaydan_MamlukSharid" "1331JurjiZaydan_Ramadan17" "1331JurjiZaydan_SalahDinAyyubi" "1331JurjiZaydan_ShajaratDurr" "1342MustafaLutfiManfaluti_Cabarat" "1342MustafaLutfiManfaluti_Fadila" "1342MustafaLutfiManfaluti_FiSabilTaj" "1342MustafaLutfiManfaluti_Majdulin" "1342MustafaLutfiManfaluti_Shacir" "1349JibranKhalilJibran_AjnihaMutakassira" "1349JibranKhalilJibran_ArwahMutamarrida" "1368CaliJarim_FarisBaniHamdan" "1368CaliJarim_FarisMulaththam" "1368CaliJarim_GhadatRashid" "1368CaliJarim_HatifMinAndalus" "1368CaliJarim_KhatimatMataf" "1368CaliJarim_MarahWalid" "1368CaliJarim_SahmMasmum" "1368CaliJarim_SayyidatQusur" "1368CaliJarim_ShacirMalik" "1368CaliJarim_ShacirTamuh" "1368IbrahimCabdQadirMazini_CaMashi" "1368IbrahimCabdQadirMazini_CawdIlaBad" "1368IbrahimCabdQadirMazini_FiTariq" "1368IbrahimCabdQadirMazini_IbrahimKatib" "1368IbrahimCabdQadirMazini_IbrahimThani" "1368IbrahimCabdQadirMazini_ThalathatRijalWaImraa" "1373NiqulaHaddad_AdamJadid" "1373NiqulaHaddad_AsrarMisr" "1373NiqulaHaddad_DawlatSayyidatFiMamlakatNisa" "1373NiqulaHaddad_FatinatImbaratur" "1373NiqulaHaddad_HaqibaZarqa" "1373NiqulaHaddad_HawaJadida" "1373NiqulaHaddad_HukarMuhtalAmrikiCaziz" "1373NiqulaHaddad_ThawraFiJahannam" "1373NiqulaHaddad_WadacanAyyuhaMashriq" "1375MuhammadHusaynHaykal_HakadhaKhuliqat" "1375MuhammadHusaynHaykal_QisasMisriyya" "1375MuhammadHusaynHaykal_Zaynab" "1392TahaHusayn_Adib" "1392TahaHusayn_AhlamShahrazad" "1392TahaHusayn_DucaKarawan" "1392TahaHusayn_JannatHayawan" "1392TahaHusayn_MaWaraNahr" "1392TahaHusayn_MucadhdhabunaFiArd" "1392TahaHusayn_OedipusAndTheseus" "1392TahaHusayn_ShajaratBus"
"في" 2.4696397591591 2.17608401520521 2.60500652691392 2.48053691275168 2.57172879303282 2.40189013154294 2.73848512298794 2.36223095888585 2.4172446733397 2.81174611097246 2.54656024325352 2.25 2.50612651248277 2.65599230346344 2.65163236886895 2.74229131393977 2.66569669256151 2.89585012087027 2.89404353940931 2.43226387637724 2.09910741766697 1.72750642673522 2.80071016422548 2.72094494832314 2.77960223839424 2.75868606910935 2.49391996462525 2.29740209383482 2.57955641272903 2.53147602464506 2.68654984333295 2.92527437056165 1.97969776307933 2.02015113350126 2.13168665862257 2.26108374384236 2.03716772524112 2.05266192581203 2.07256091073518 2.08362320857103 2.29286980387672 2.58127491120089 2.49009167700869 2.4323945635421 2.08226747160544 1.93455935037019 2.03111799493101 2.69000053558995 2.6014721967659 2.43947945333271 2.70298286987846 2.27253200446774 2.46845858475041 2.63003404954796 2.66750026049807 2.53395389347051 2.14950954353908 2.46318352149319
"من" 2.32268598836616 2.53527478899555 2.9102357367734 2.50917225950783 2.36691659691179 2.49676159894912 2.50505191275869 2.47384553874858 2.230344311999 2.80065441033747 2.24520823152522 2.79439252336449 2.19214274774085 2.66801814183617 2.41567383568002 2.68585501000462 2.85016498220271 2.38718775181305 2.69595705485015 2.32139144896404 1.94521391197291 2.08226221079692 2.42343541944075 2.4045560008437 2.44331765756772 2.4174053182917 2.55582577934999 2.67545560294688 2.45901639344262 2.71899276721136 2.30938841824301 2.68318269851517 1.7362546506821 1.85894206549118 1.8288499302056 2.12315270935961 2.03481533756763 1.97578320199885 1.74699436110224 1.98970363155698 1.96695065469724 1.93324476017462 1.80951999679731 2.09051422166176 1.51949247927965 1.84857893479818 1.93255421008167 2.51593380108189 2.52165429981967 3.14224855015004 3.08394018710965 2.9813557865796 3.04717498628634 3.20241869202771 3.28748567260602 3.45935058925995 2.94273876553702 3.08136620760436
"علي" 1.55934279008062 1.57367437665099 1.93119864854488 1.50514541387025 1.52095317815099 1.57906259692398 1.58351334401784 1.62424202039048 1.57826971798812 2.07969386906247 1.54205353749253 1.45560747663551 2.15959565017614 1.48089609675646 1.5627417607922 1.44425632343133 1.56927953441243 1.35475423045931 1.28756214963453 1.17570969902756 1.07109879963066 1.19794344473008 0.932090545938748 1.05462982493145 1.08767044111079 1.08072237758923 1.16736679195224 1.12931368747577 1.10896817743491 1.20100008929369 1.25333642799118 0.98047127178825 1.59386339626108 1.68765743073048 1.48106087491424 1.54187192118227 1.66549047282992 1.80280607341918 0.980955420789446 1.30443856963963 1.28652295728744 1.06287790461213 1.25705592697866 1.43477651674373 1.13578225723933 1.0460950561261 1.13700366094058 1.39922875046864 1.44559080024832 1.10390720960244 1.34501256899992 1.12552624795945 1.11354909489852 1.20054009627803 1.62029800979473 1.16763288968727 1.36336272530897 1.61586748454543
"الي" 1.72670680681702 1.81045035758005 1.54534285494894 1.48903803131991 1.68480293504782 1.65660177701556 1.4650547000209 1.54261344705804 1.91884370976451 2.09078556969747 1.91942227290004 1.82009345794393 1.56417521825701 1.57710280373832 1.68458920006189 1.59047765635421 1.49653147652576 1.14826752618856 1.44603133728186 1.18494906797866 1.61895967990151 1.36760925449871 1.35818908122503 1.37101877241088 1.36352888632005 1.20159264350382 1.31328764094627 1.29895308259015 1.39826422372228 1.43762835967497 1.22432401067657 1.31132989025178 1.27233475724588 1.31486146095718 1.54020867343317 1.76847290640394 1.18795577511174 1.17624447434173 1.14267475263326 1.42270766662029 1.50380239007376 1.47501423497194 1.05688778574002 1.33389379291019 1.57576997851223 1.33269644136613 1.00323852435934 1.89197150661454 1.81807431933071 1.54857969121694 2.02140617306347 1.74843199587593 1.73066374108612 1.42068803569332 1.71407731582786 1.83174110666558 1.65374127979036 1.70656610258491
"ان" 1.77773242167568 1.65421042458604 1.51846732703678 1.92572706935123 1.75604195978557 1.4239842367408 2.02424918124173 1.4893049910042 1.58865307139594 1.89945373374373 2.05245153933865 2.02803738317757 1.56800428855874 1.88805662451897 2.02305430914436 1.87009388948746 1.79791628777053 1.79794520547945 1.70948636174554 1.97722495553554 1.04032009849184 0.961439588688946 1.90412782956059 1.89833368487661 2.20161311509865 1.97421434327156 1.98982975900951 2.13260953858085 1.95274831243973 2.02250200910796 1.97284437739352 1.98515171078115 2.99940287538469 2.74055415617128 3.08041734686635 2.98029556650246 3.16866619618913 2.98673842014223 2.71092669432918 2.92194239599276 2.53302075590371 3.06661966866408 2.59818247327755 2.74064733081127 2.84968791568607 2.07786004299021 3.13996057448606 2.52798457500937 2.44774883968428 1.77402552979772 2.51898307720217 2.46584758140734 1.93088315962699 2.41575672185042 2.70396999062207 2.56933670830952 3.48100145189277 2.26746545098694
"ذلك" 0.691907337483417 0.618516848141228 0.923366351839054 1.01118568232662 0.662522930061087 0.936855740636004 1.14277750679395 0.806290397814353 0.770444822859991 0.587860133654993 0.776456534723353 1.10747663551402 0.991729208148262 0.989554700384827 1.07341791737583 0.477143296906264 0.613162202187638 0.64464141821112 0.554642156765644 0.570531032730464 0.289319790704832 0.25706940874036 0.133155792276964 0.042185192997258 0.212805086304285 0.146940323268711 0.141499005085121 0.159945715393563 0.0482160077145612 0.14733458344495 0.168272020424742 0.181568754034861 0.372054568003307 0.322418136020151 0.515768803085149 0.472906403940887 0.494001411432604 0.376705746684605 0.525587828492393 0.580909976346181 0.217279432786323 0.439250562620319 0.61251451219024 0.784643407594227 0.6497493093216 0.310484834010031 0.408335680090115 0.583793048042419 0.614893428326485 0.642131940233531 0.437971337497085 0.584242632528568 0.436094349972573 0.545966889749912 0.494946337397103 0.544350997523203 0.658663550409009 0.603861851683891
"لا" 1.03071742014491 1.03730429740352 0.781309990017661 1.02371364653244 0.967069760814974 0.87573662221087 1.14451954567626 0.929566202438862 0.85766499148565 0.518537004686244 0.830754194494217 0.841121495327103 1.02236177056211 1.04452996151732 1.05214296766208 1.33138371556103 1.10161344799813 1.27921031426269 1.25983004179625 1.38359550042732 0.701754385964912 0.519280205655527 0.816688859298713 0.653870491457498 0.769776423298216 0.936152059534531 0.906478001326553 0.780341217526173 0.843780135004822 0.884007500669703 0.829755135197865 0.968366688185926 1.53874420100133 1.20906801007557 1.36513118981712 1.3743842364532 1.58315690425782 1.58754564674226 1.8363655708054 1.2696535411159 1.12070444279261 1.55093408530137 1.09692141398775 1.05926860025221 1.36600839046352 1.34224982087413 1.4291748803154 0.803384928498741 0.786354095840601 0.833372203305502 1.11436494156063 1.25869920096228 1.09983543609435 1.25044029587883 1.19829113264562 0.919953185814213 0.956124508658239 0.942788266462993
"ما" 0.773548321257271 0.861735712905096 0.817783920755586 0.812527964205817 0.742666832891058 0.93776796628414 0.956379346387011 0.897914306656893 0.930348465340366 0.77919196960874 0.963783460932834 0.570093457943925 0.924720477867974 0.852116547553601 0.833591211511682 0.941460161099995 0.834004520772169 0.730257856567284 0.897331775052988 0.893908946018987 0.590951061865189 0.349614395886889 0.648024855747892 0.717148280953385 0.782912539736752 0.860311892686164 0.760557152332523 0.828809616130283 1.01253616200579 0.870613447629253 0.615063247069746 0.843285990961911 0.854347526526113 1.03274559193955 0.882485153902572 1.064039408867 1.11738414490708 1.20315202767634 0.678795616554953 0.789620147488521 0.417405226142146 0.588378840053144 0.58449097241683 0.658540002802298 0.475800675329991 0.429902077860043 0.531540411151788 1.27202613678967 1.07015106276052 1.32624345040969 1.07290019954907 1.12123034624968 1.14371914426769 0.977456851003875 1.08888194227363 0.941727225715141 0.818017635185382 0.895052151705373
"قال" 0.91437901826717 0.705495779911088 0.443446210550564 1.14720357941834 0.906516589787886 0.884858878692233 0.585325064455439 0.776304391284067 0.85143497944096 0.390982447383745 0.19547157517511 0.401869158878505 0.744754173686629 0.982682792743266 0.810382175460313 0.218049356113078 0.0727480578866689 0.282030620467365 0.158469187647327 1.18263922574088 0.0430901815943367 0.149100257069409 0.0577008433200178 0.021092596498629 0.0840711452066311 0.0497701094942409 0.0619058147247402 0.14540519581233 0.0241080038572806 0.1339405304045 0.127654636184287 0.141220142027114 0.385834366818244 0.110831234256927 0.307568552298483 0.0738916256157636 0.430486944248412 0.484335960023064 0.308543462070433 0.0973980798664255 0.0114357596203328 0.132859738076516 0.104087433444093 0.0672551492223623 0.214877724342576 0.133747313112013 0.158406082793579 0.137914412725617 0.109380081000384 0.0513083632632119 0.12957731878612 0.300713119683822 0.0822819528250137 0.143829987084654 0.448056684380536 0.100704934541793 0.0637416339105492 0.632503520538463
"وقد" 0.49392795183182 0.65073126731525 0.5336711971128 0.576286353467562 0.534292685533135 0.517231942493295 0.569646714514668 0.504764443259812 0.50047763425676 0.335523944208746 0.404517565292936 0.521028037383178 0.469061111962016 0.505085211654755 0.586028160297076 0.161613052177928 0.194860869339292 0.110797743755036 0.142622268882594 0.161688956644261 0.246229609110496 0.354755784061697 0.350643586329339 0.168740771989032 0.386201823292962 0.22515049533109 0.282998010170241 0.310197751066305 0.241080038572806 0.370568800785784 0.348149007775328 0.25823111684958 0.293969041385329 0.221662468513854 0.274445785127878 0.187192118226601 0.185838626205599 0.30367095906208 0.174486647515693 0.320022262418255 0.125793355823661 0.154551123884927 0.272228672084551 0.196160851898557 0.127903407346772 0.10031048483401 0.168966488313151 0.275828825451235 0.328140243001153 0.20989784971314 0.298027833208075 0.378039350459661 0.370268787712562 0.540096278032171 0.250078149421694 0.381045698266242 0.513474273168313 0.460653507411032
