"1331JurjiZaydan_AbuMuslimKhurasani" "1331JurjiZaydan_AhmadIbnTulun" "1331JurjiZaydan_AminWaMamun" "1331JurjiZaydan_ArmanusaMisriyya" "1331JurjiZaydan_AsirMutamahdi" "1331JurjiZaydan_CabbasaUkhtRashid" "1331JurjiZaydan_CabdRahmanNasir" "1331JurjiZaydan_CadhraQuraysh" "1331JurjiZaydan_CarusFarghana" "1331JurjiZaydan_FatatGhassan" "1331JurjiZaydan_FatatQayruwan" "1331JurjiZaydan_FathAndalus" "1331JurjiZaydan_GhadatKarbala" "1331JurjiZaydan_HajjajIbnYusuf" "1331JurjiZaydan_InqilabCuthmani" "1331JurjiZaydan_IstibdadMamalik" "1331JurjiZaydan_JihadMuhibbin" "1331JurjiZaydan_MamlukSharid" "1331JurjiZaydan_Ramadan17" "1331JurjiZaydan_SalahDinAyyubi" "1331JurjiZaydan_ShajaratDurr" "1331JurjiZaydan_SharlWaCabdRahman" "1342MustafaLutfiManfaluti_Cabarat" "1342MustafaLutfiManfaluti_Fadila" "1342MustafaLutfiManfaluti_FiSabilTaj" "1342MustafaLutfiManfaluti_Majdulin" "1342MustafaLutfiManfaluti_Shacir" "1349JibranKhalilJibran_AjnihaMutakassira" "1349JibranKhalilJibran_ArwahMutamarrida" "1368CaliJarim_FarisBaniHamdan" "1368CaliJarim_FarisMulaththam" "1368CaliJarim_GhadatRashid" "1368CaliJarim_HatifMinAndalus" "1368CaliJarim_KhatimatMataf" "1368CaliJarim_MarahWalid" "1368CaliJarim_SahmMasmum" "1368CaliJarim_SayyidatQusur" "1368CaliJarim_ShacirMalik" "1368CaliJarim_ShacirTamuh" "1368IbrahimCabdQadirMazini_CaMashi" "1368IbrahimCabdQadirMazini_CawdIlaBad" "1368IbrahimCabdQadirMazini_FiTariq" "1368IbrahimCabdQadirMazini_IbrahimKatib" "1368IbrahimCabdQadirMazini_IbrahimThani" "1368IbrahimCabdQadirMazini_ThalathatRijalWaImraa" "1373NiqulaHaddad_AdamJadid" "1373NiqulaHaddad_AsrarMisr" "1373NiqulaHaddad_DawlatSayyidatFiMamlakatNisa" "1373NiqulaHaddad_FatinatImbaratur" "1373NiqulaHaddad_HaqibaZarqa" "1373NiqulaHaddad_HawaJadida" "1373NiqulaHaddad_HukarMuhtalAmrikiCaziz" "1373NiqulaHaddad_ThawraFiJahannam" "1373NiqulaHaddad_WadacanAyyuhaMashriq" "1375MuhammadHusaynHaykal_HakadhaKhuliqat" "1375MuhammadHusaynHaykal_QisasMisriyya" "1375MuhammadHusaynHaykal_Zaynab" "1392TahaHusayn_Adib" "1392TahaHusayn_AhlamShahrazad" "1392TahaHusayn_DucaKarawan" "1392TahaHusayn_JannatHayawan" "1392TahaHusayn_MaWaraNahr" "1392TahaHusayn_MucadhdhabunaFiArd" "1392TahaHusayn_OedipusAndTheseus" "1392TahaHusayn_ShajaratBus"
"من" 2.38332384746727 2.32268598836616 2.30445267126312 2.53527478899555 2.52544399405092 2.9102357367734 2.50917225950783 2.44062300567466 2.36691659691179 2.49676159894912 2.50505191275869 2.84391432995539 2.47384553874858 2.230344311999 2.47305539309884 2.80065441033747 2.24520823152522 2.79439252336449 2.19214274774085 2.66801814183617 2.41567383568002 2.79415080362032 2.68585501000462 2.85016498220271 2.38718775181305 2.69595705485015 2.32139144896404 1.94521391197291 2.08226221079692 2.42343541944075 2.4045560008437 2.44331765756772 2.4174053182917 2.55582577934999 2.67545560294688 2.45901639344262 2.71899276721136 2.30938841824301 2.68318269851517 1.7362546506821 1.85894206549118 1.8288499302056 2.12315270935961 2.03481533756763 1.97578320199885 1.74699436110224 1.98970363155698 1.96695065469724 1.93324476017462 1.80951999679731 2.09051422166176 1.51949247927965 1.84857893479818 1.93255421008167 2.51593380108189 2.52165429981967 3.14224855015004 3.08394018710965 2.9813557865796 3.04717498628634 3.20241869202771 3.28748567260602 3.45935058925995 2.94273876553702 3.08136620760436
"في" 2.6437108708025 2.4696397591591 2.62880820568556 2.17608401520521 2.34901286051734 2.60500652691392 2.48053691275168 2.34748262241924 2.57172879303282 2.40189013154294 2.73848512298794 2.62314685636316 2.36223095888585 2.4172446733397 2.8473556688111 2.81174611097246 2.54656024325352 2.25 2.50612651248277 2.65599230346344 2.65163236886895 2.67014526363256 2.74229131393977 2.66569669256151 2.89585012087027 2.89404353940931 2.43226387637724 2.09910741766697 1.72750642673522 2.80071016422548 2.72094494832314 2.77960223839424 2.75868606910935 2.49391996462525 2.29740209383482 2.57955641272903 2.53147602464506 2.68654984333295 2.92527437056165 1.97969776307933 2.02015113350126 2.13168665862257 2.26108374384236 2.03716772524112 2.05266192581203 2.07256091073518 2.08362320857103 2.29286980387672 2.58127491120089 2.49009167700869 2.4323945635421 2.08226747160544 1.93455935037019 2.03111799493101 2.69000053558995 2.6014721967659 2.43947945333271 2.70298286987846 2.27253200446774 2.46845858475041 2.63003404954796 2.66750026049807 2.53395389347051 2.14950954353908 2.46318352149319
"ان" 1.68895845190666 1.77773242167568 1.61328668953571 1.65421042458604 1.58933831034382 1.51846732703678 1.92572706935123 1.50059506355969 1.75604195978557 1.4239842367408 2.02424918124173 1.5714351418891 1.4893049910042 1.58865307139594 1.9817862812265 1.89945373374373 2.05245153933865 2.02803738317757 1.56800428855874 1.88805662451897 2.02305430914436 1.45263632557091 1.87009388948746 1.79791628777053 1.79794520547945 1.70948636174554 1.97722495553554 1.04032009849184 0.961439588688946 1.90412782956059 1.89833368487661 2.20161311509865 1.97421434327156 1.98982975900951 2.13260953858085 1.95274831243973 2.02250200910796 1.97284437739352 1.98515171078115 2.99940287538469 2.74055415617128 3.08041734686635 2.98029556650246 3.16866619618913 2.98673842014223 2.71092669432918 2.92194239599276 2.53302075590371 3.06661966866408 2.59818247327755 2.74064733081127 2.84968791568607 2.07786004299021 3.13996057448606 2.52798457500937 2.44774883968428 1.77402552979772 2.51898307720217 2.46584758140734 1.93088315962699 2.41575672185042 2.70396999062207 2.56933670830952 3.48100145189277 2.26746545098694
"الي" 1.614968696642 1.72670680681702 1.63706144074992 1.81045035758005 1.7847248549182 1.54534285494894 1.48903803131991 1.80933818583231 1.68480293504782 1.65660177701556 1.4650547000209 1.79220261548132 1.54261344705804 1.91884370976451 1.66095747347314 2.09078556969747 1.91942227290004 1.82009345794393 1.56417521825701 1.57710280373832 1.68458920006189 1.76506586787773 1.59047765635421 1.49653147652576 1.14826752618856 1.44603133728186 1.18494906797866 1.61895967990151 1.36760925449871 1.35818908122503 1.37101877241088 1.36352888632005 1.20159264350382 1.31328764094627 1.29895308259015 1.39826422372228 1.43762835967497 1.22432401067657 1.31132989025178 1.27233475724588 1.31486146095718 1.54020867343317 1.76847290640394 1.18795577511174 1.17624447434173 1.14267475263326 1.42270766662029 1.50380239007376 1.47501423497194 1.05688778574002 1.33389379291019 1.57576997851223 1.33269644136613 1.00323852435934 1.89197150661454 1.81807431933071 1.54857969121694 2.02140617306347 1.74843199587593 1.73066374108612 1.42068803569332 1.71407731582786 1.83174110666558 1.65374127979036 1.70656610258491
"علي" 1.68753557199772 1.55934279008062 1.73216044560677 1.57367437665099 1.57913155055262 1.93119864854488 1.50514541387025 2.00941752764027 1.52095317815099 1.57906259692398 1.58351334401784 1.86425866588989 1.62424202039048 1.57826971798812 1.61584092238282 2.07969386906247 1.54205353749253 1.45560747663551 2.15959565017614 1.48089609675646 1.5627417607922 1.88424002319065 1.44425632343133 1.56927953441243 1.35475423045931 1.28756214963453 1.17570969902756 1.07109879963066 1.19794344473008 0.932090545938748 1.05462982493145 1.08767044111079 1.08072237758923 1.16736679195224 1.12931368747577 1.10896817743491 1.20100008929369 1.25333642799118 0.98047127178825 1.59386339626108 1.68765743073048 1.48106087491424 1.54187192118227 1.66549047282992 1.80280607341918 0.980955420789446 1.30443856963963 1.28652295728744 1.06287790461213 1.25705592697866 1.43477651674373 1.13578225723933 1.0460950561261 1.13700366094058 1.39922875046864 1.44559080024832 1.10390720960244 1.34501256899992 1.12552624795945 1.11354909489852 1.20054009627803 1.62029800979473 1.16763288968727 1.36336272530897 1.61586748454543
"لا" 0.968981217985202 1.03071742014491 0.810039737798458 1.03730429740352 0.944854334956694 0.781309990017661 1.02371364653244 0.8951825723994 0.967069760814974 0.87573662221087 1.14451954567626 0.90606650620142 0.929566202438862 0.85766499148565 0.974183306876097 0.518537004686244 0.830754194494217 0.841121495327103 1.02236177056211 1.04452996151732 1.05214296766208 0.84710277965665 1.33138371556103 1.10161344799813 1.27921031426269 1.25983004179625 1.38359550042732 0.701754385964912 0.519280205655527 0.816688859298713 0.653870491457498 0.769776423298216 0.936152059534531 0.906478001326553 0.780341217526173 0.843780135004822 0.884007500669703 0.829755135197865 0.968366688185926 1.53874420100133 1.20906801007557 1.36513118981712 1.3743842364532 1.58315690425782 1.58754564674226 1.8363655708054 1.2696535411159 1.12070444279261 1.55093408530137 1.09692141398775 1.05926860025221 1.36600839046352 1.34224982087413 1.4291748803154 0.803384928498741 0.786354095840601 0.833372203305502 1.11436494156063 1.25869920096228 1.09983543609435 1.25044029587883 1.19829113264562 0.919953185814213 0.956124508658239 0.942788266462993
"ما" 0.73562891291975 0.773548321257271 0.83721088204327 0.861735712905096 0.777171852672713 0.817783920755586 0.812527964205817 0.891732928575125 0.742666832891058 0.93776796628414 0.956379346387011 0.844742207981357 0.897914306656893 0.930348465340366 0.771994318656529 0.77919196960874 0.963783460932834 0.570093457943925 0.924720477867974 0.852116547553601 0.833591211511682 0.813283086932715 0.941460161099995 0.834004520772169 0.730257856567284 0.897331775052988 0.893908946018987 0.590951061865189 0.349614395886889 0.648024855747892 0.717148280953385 0.782912539736752 0.860311892686164 0.760557152332523 0.828809616130283 1.01253616200579 0.870613447629253 0.615063247069746 0.843285990961911 0.854347526526113 1.03274559193955 0.882485153902572 1.064039408867 1.11738414490708 1.20315202767634 0.678795616554953 0.789620147488521 0.417405226142146 0.588378840053144 0.58449097241683 0.658540002802298 0.475800675329991 0.429902077860043 0.531540411151788 1.27202613678967 1.07015106276052 1.32624345040969 1.07290019954907 1.12123034624968 1.14371914426769 0.977456851003875 1.08888194227363 0.941727225715141 0.818017635185382 0.895052151705373
"ذلك" 0.894991462720546 0.691907337483417 0.799850558706654 0.618516848141228 0.909859729958298 0.923366351839054 1.01118568232662 0.670955723821515 0.662522930061087 0.936855740636004 1.14277750679395 1.09003940086161 0.806290397814353 0.770444822859991 0.882279221321748 0.587860133654993 0.776456534723353 1.10747663551402 0.991729208148262 0.989554700384827 1.07341791737583 1.16597416819661 0.477143296906264 0.613162202187638 0.64464141821112 0.554642156765644 0.570531032730464 0.289319790704832 0.25706940874036 0.133155792276964 0.042185192997258 0.212805086304285 0.146940323268711 0.141499005085121 0.159945715393563 0.0482160077145612 0.14733458344495 0.168272020424742 0.181568754034861 0.372054568003307 0.322418136020151 0.515768803085149 0.472906403940887 0.494001411432604 0.376705746684605 0.525587828492393 0.580909976346181 0.217279432786323 0.439250562620319 0.61251451219024 0.784643407594227 0.6497493093216 0.310484834010031 0.408335680090115 0.583793048042419 0.614893428326485 0.642131940233531 0.437971337497085 0.584242632528568 0.436094349972573 0.545966889749912 0.494946337397103 0.544350997523203 0.658663550409009 0.603861851683891
"هذا" 0.512236767216847 0.524543320747015 0.507760758074924 0.481605566651633 0.460762299145548 0.422329724333871 0.519015659955257 0.36221260154889 0.48976829507204 0.4068526390688 0.599261375513901 0.530455179603538 0.498100886253082 0.581467790837729 0.461191411145459 0.488034827939994 0.480534288972145 0.55607476635514 0.382907030173074 0.800577240241891 0.66339161380164 0.541115083582955 0.354009542865938 0.337758840188106 0.407937147461724 0.364479131588852 0.489686554408334 0.381655894121268 0.544987146529563 0.434975588104749 0.569500105462982 0.625279142474319 0.514291131440489 0.596948927702852 0.57677394338891 0.38572806171649 0.540226805964818 0.411976325867471 0.879599741768883 1.1345367690965 1.26448362720403 1.03390351811106 0.926108374384236 1.23265114090802 1.06092638862195 0.793701457601872 0.546124947822457 0.771913774372463 0.759198503294379 0.652548140437968 0.501611321283452 0.670213854497084 0.592309529496059 0.880033793297663 0.832842375877029 0.830697371921838 0.371596933936595 1.20247751833519 0.927914769310078 1.04772353263851 0.880591757661148 0.943003021777639 0.914509675838981 0.874676865328092 0.742296584480989
"يا" 0.31018782014798 0.414327992652311 0.463607648677105 0.52026286966046 0.505963663935143 0.332104737771635 0.393736017897092 0.510547285992721 0.411405367860514 0.357592454069439 0.486028848163891 0.318886350744324 0.579729459585527 0.427794160402043 0.315815857632217 0.313340542938746 0.477819405983602 0.436915887850467 0.407795987134324 0.52741891148983 0.528005570168652 0.301156311398847 0.436098712226156 0.311777390942867 0.473408541498791 0.425885941802191 0.923936895110064 0.54170514004309 0.298200514138817 0.878828229027963 1.4553891584054 0.930037043848357 1.13049248708347 0.919743533053283 0.940286932919736 1.25361620057859 0.834895972854719 0.963212254845074 1.04099418979987 0.486886224794451 0.267002518891688 0.373814086639695 0.310344827586207 0.181133850858621 0.24985585239285 0.846898606234706 0.727007096145819 0.937732288867288 1.47501423497194 0.936786900996837 0.689365279529214 0.685562263378696 0.840697396704084 1.11236271472825 0.226286754860479 0.1685044491087 0.20989784971314 0.0958872159017286 0.502620500042959 0.115194733955019 0.114476928495949 0.0989892674794206 0.0408263248142402 0.212472113035164 0.169463207389551
